name,category,Ma=2.0 阻力系数,Ma=2.0 升力系数,Ma=1.5 阻力系数,Ma=1.5 升力系数,Ma=0.734 阻力系数,Ma=0.734 新阻力系数,Ma=0.734 升力系数,Ma=0.25 阻力系数,Ma=0.25 升力系数,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12,Mode 13,Mode 14,Mode 15,Mode 16,Mode 17,Mode 18,Mode 19,Ma=0.734，α=2.832，Re=6.5E+6
2032c,,0.1,0.12,0.152388597,0.174751429,0.086432286,0.086077396,0.832410878,0.010046173,1.04581145,0.098941844,0.588323695,-0.249928037,1.114772058,-0.852309816,1.338859848,-0.564461761,0.656327196,0.067372985,0.255950898,0.217520925,-0.347861142,0.840633534,-0.825748491,1.009871629,-0.524777151,0.454228358,-0.005952846,0.149608484,
a18,,0.1,0.12,0.084251455,0.139074186,0.04349403,0.043916403,1.089522601,0.00906018,0.803799241,0.104879078,0.269306589,-0.074213873,0.569641353,-0.235553044,0.536131808,-0.012576961,0.299322773,0.178147244,0.253941467,-0.071831803,0.101309603,-0.282412993,0.481046518,-0.465755284,0.420017368,-0.106490391,0.109579209,0.065344775,
a18sm,,0.1,0.12,0.082728721,0.138270341,0.042248141,0.043355838,1.084055295,0.009050294,0.802891847,0.114881192,0.240246173,-0.019696747,0.50617135,-0.201009496,0.556096471,-0.065887382,0.34383382,0.159621564,0.260084378,0.008089061,-0.15096473,0.253384013,-0.31935093,0.38930306,-0.216751736,0.194861535,0.031222653,0.067171571,
a63a108c,,0.061847583,0.099950158,0.064609742,0.162444607,0.020033912,0.022015463,0.563813374,0.008219067,0.350536905,0.164592472,0.068483732,0.193697351,-0.031816238,0.260102865,-0.033637091,0.1859123,0.061978855,0.100033119,0.004452838,0.098019683,-0.563583985,0.798021513,-1.309080707,1.155673687,-1.01949345,0.451323044,-0.255406067,-0.013736895,
ag03,,0.054319819,0.08170334,0.060456189,0.15541293,0.028800288,0.033618164,0.832267918,0.00828328,0.538023375,0.096349718,0.331510218,-0.370234134,1.101606071,-1.232287833,1.517133755,-0.938226426,0.685711755,-0.110859718,0.156150448,0.086838904,-0.380314188,0.678814053,-1.023760969,1.016054019,-0.798753229,0.405287477,-0.174744079,0.023078595,
ag04,,0.053131186,0.086870935,0.05964368,0.155625919,0.027550231,0.030964407,0.805329246,0.008204429,0.518045456,0.096605336,0.273919211,-0.221807676,0.779863942,-0.791953146,1.044957341,-0.597336127,0.487245458,-0.049131861,0.129097102,0.002999215,-0.213951494,0.311546861,-0.512228618,0.495342067,-0.394577034,0.207246372,-0.089665085,0.009755262,
ag08,,0.049381422,0.088938648,0.055837006,0.155046737,0.02660221,0.029191687,0.810176584,0.008121728,0.52190674,0.096996961,0.231949721,-0.127398097,0.57211869,-0.515617557,0.735037163,-0.359763261,0.345424162,0.009330177,0.12133777,0.007081022,-0.168658448,0.235278309,-0.364522593,0.356232576,-0.270492569,0.138138949,-0.057607188,0.008479682,
ag09,,0.045144813,0.091057903,0.051244378,0.156445863,0.025555496,0.027515352,0.784330115,0.00794759,0.505988666,0.097552342,0.202203523,-0.073052656,0.429972894,-0.339755004,0.528638631,-0.225226873,0.250168465,0.022317227,0.095609467,0.039129472,-0.156421868,0.265751781,-0.369122143,0.3654746,-0.268896462,0.139738858,-0.053312318,0.011266359,
ag10,,0.043040842,0.091729736,0.048808858,0.159594381,0.026489293,0.029057302,0.762834185,0.007896638,0.497738239,0.091122733,0.239378155,-0.224219442,0.719436762,-0.79048525,0.973328293,-0.580445794,0.43115748,-0.054804307,0.107404942,0.051383352,-0.186253143,0.323711516,-0.431871778,0.446389178,-0.341272984,0.187644157,-0.071207689,0.017388191,
ag11,,0.057201365,0.08105116,0.06317069,0.159359914,0.032323996,0.039086572,0.874859526,0.008313983,0.568256665,0.109986773,0.360624313,-0.468212737,1.317295593,-1.54770262,1.84736548,-1.189377421,0.820811318,-0.162649891,0.167536146,0.233868962,-0.684310154,1.269888139,-1.797697092,1.81143954,-1.370137444,0.722756,-0.282080766,0.05782807,
ag12,,0.051857941,0.087106795,0.058723021,0.156993881,0.030615675,0.034362768,0.871197196,0.008193852,0.560143532,0.094112653,0.271746668,-0.225135934,0.780045101,-0.784903423,1.011676604,-0.560699234,0.45280853,-0.037233087,0.132791331,0.015528809,-0.24033806,0.361517268,-0.559673648,0.556007828,-0.407327724,0.23987875,-0.058385924,0.046897459,
ag13,,0.050137885,0.086487628,0.056964016,0.157114661,0.030668123,0.034674059,0.892043163,0.008165284,0.572875832,0.092726294,0.275689447,-0.246992934,0.81546769,-0.839437349,1.068449126,-0.607376503,0.479393276,-0.043254795,0.135399448,0.041041145,-0.26932225,0.441458185,-0.64868038,0.659692441,-0.469788807,0.281860552,-0.066966468,0.053127226,
