synthetic_name,source_anchor,true_category,anchor_predicted_category,anchor_strength,perturb_radius_scaled,trust_radius_scaled,source_title,nearest_anchor,nearest_anchor_true_category,nearest_anchor_distance_scaled,nearest_real_distance_scaled,same_true_category_neighborhood,source_anchor_is_nearest,within_real_manifold_threshold,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12,Mode 13,Mode 14,Mode 15,Mode 16,Mode 17,Mode 18,Mode 19
2032c_perturb_001,2032c,Low-subsonic,Low-subsonic,strong,0.29871560,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29871560,0.29871560,True,True,True,0.09229009742,0.6048875671,-0.2599001453,1.066641661,-0.9298152299,1.373351856,-0.5264859086,0.6532163758,0.05172572401,0.2553658549,0.2251389571,-0.3451518629,0.8213419565,-0.7955394556,0.9377539391,-0.5648748157,0.4959206134,-0.02520892794,0.1300725
2032c_perturb_002,2032c,Low-subsonic,Low-subsonic,strong,0.28297209,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28297209,0.28297209,True,True,True,0.09461088473,0.5993443305,-0.276800287,1.006036562,-0.9178098923,1.309702023,-0.5018777717,0.6839143933,0.08542225289,0.2545661275,0.2182246385,-0.339246359,0.8872145931,-0.8077198707,1.050435986,-0.5689188736,0.4695385858,-0.004335943521,0.1495286913
2032c_perturb_003,2032c,Low-subsonic,Low-subsonic,strong,0.19889550,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.19889550,0.19889550,True,True,True,0.1006466976,0.5964991363,-0.2581153665,1.060319858,-0.8256380033,1.35201157,-0.6144511801,0.6414731469,0.06750124855,0.2567897003,0.2139807573,-0.3581862832,0.8400501262,-0.7717321669,0.964467288,-0.5052754462,0.4340717273,-0.01349108666,0.1628518408
2032c_perturb_004,2032c,Low-subsonic,Low-subsonic,strong,0.29255935,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29255935,0.29255935,True,True,True,0.1066722734,0.5549830259,-0.2619291926,1.098429378,-0.8592772723,1.329302644,-0.5922242026,0.6196166839,0.07859148684,0.2627628907,0.2192869486,-0.3438610284,0.8223636071,-0.8066371632,0.9596325777,-0.5716016493,0.4606539676,-0.01071788056,0.1238427839
2032c_perturb_005,2032c,Low-subsonic,Low-subsonic,strong,0.28615691,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28615691,0.28615691,True,True,True,0.1047102269,0.5791106318,-0.2322459326,1.155503922,-0.8594727524,1.335568465,-0.6303408187,0.6740621877,0.04310124161,0.2694111333,0.2273498393,-0.3410742834,0.8483618248,-0.7265263996,0.9255953029,-0.5231833277,0.4480102273,-0.007691329159,0.1388332165
2032c_perturb_006,2032c,Low-subsonic,Low-subsonic,strong,0.29830115,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29830115,0.29830115,True,True,True,0.0859473473,0.5953638108,-0.2484836463,1.092603099,-0.8096885596,1.357134554,-0.5512960866,0.6465446923,0.05110423744,0.2690557655,0.228716959,-0.3521903407,0.7609205109,-0.8741609205,0.9333913337,-0.5628161372,0.4892687635,-0.01202830424,0.142058413
2032c_perturb_007,2032c,Low-subsonic,Low-subsonic,strong,0.27290449,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.27290449,0.27290449,True,True,True,0.1077945675,0.5891420832,-0.2588015737,1.17670545,-0.8542270588,1.31457315,-0.5632822326,0.6223223636,0.06803608022,0.2604206464,0.2296227265,-0.3436953594,0.7967694751,-0.8463439245,1.029696046,-0.4614440792,0.4109496442,-0.01038121258,0.1674525746
2032c_perturb_008,2032c,Low-subsonic,Low-subsonic,strong,0.28804289,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.28804289,0.28804289,True,True,True,0.0959351189,0.6210379201,-0.2468685282,1.053392894,-0.8421506111,1.318346729,-0.6400046357,0.6535186107,0.04378116478,0.2691030901,0.2213182129,-0.3403513532,0.8665503345,-0.8666575412,1.034875449,-0.5398083498,0.4228688548,-0.006303514054,0.1380066462
2032c_perturb_009,2032c,Low-subsonic,Low-subsonic,strong,0.29844631,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.29844631,0.29844631,True,True,True,0.1011791563,0.5797029439,-0.2654338265,1.117533053,-0.9101134756,1.349596897,-0.5155551102,0.6994639387,0.03300025721,0.2663979924,0.2100548134,-0.3419838212,0.8767756642,-0.8260701107,0.9559015646,-0.4483868493,0.4718503029,-0.006446619026,0.1425474683
2032c_perturb_010,2032c,Low-subsonic,Low-subsonic,strong,0.25138796,0.29881932,UIUC Airfoil Coordinates Database,2032c,Low-subsonic,0.25138796,0.25138796,True,True,True,0.1064556442,0.5937309862,-0.2463606599,1.133891107,-0.8034136052,1.325458424,-0.5566472928,0.6123064987,0.07663044922,0.2587557828,0.2123572028,-0.3519451918,0.7790853931,-0.7568911258,1.085307991,-0.4957602676,0.4711812937,-0.01238439574,0.1467044591
