airfoil_name,true_category,anchor_strength,predicted_category,quality_status,is_comparable,is_match,score_margin,best_score_regime,evidence_basis,source_title,source_url,notes
2032c,Low-subsonic,strong,Low-subsonic,valid,True,True,0.08309713,Ma 0.25,UIUC identifies this airfoil as a low Reynolds number airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C
a18,Low-subsonic,contextual,Transonic,valid,True,False,0.21880631,Ma 0.734,UIUC lists the airfoil with low Reynolds number data for free-flight use,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Free-flight airfoil
ag03,Low-subsonic,strong,Supersonic,valid,True,False,0.38669406,Ma 1.5,UIUC lists the Drela AG family and associated model aircraft use,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Drela AG low-speed family
ag24,Low-subsonic,strong,Supersonic,valid,True,False,0.15071747,Ma 1.5,UIUC identifies AG24 as used on the Bubble Dancer R/C DLG,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Drela AG low-speed family
ag25,Low-subsonic,strong,Supersonic,valid,True,False,0.18349093,Ma 1.5,UIUC identifies AG25 as used on the Bubble Dancer R/C DLG,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Drela AG low-speed family
ag26,Low-subsonic,strong,Supersonic,valid,True,False,0.21639610,Ma 1.5,UIUC identifies AG26 as used on the Bubble Dancer R/C DLG,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Drela AG low-speed family
ag27,Low-subsonic,strong,Supersonic,valid,True,False,0.25763205,Ma 1.5,UIUC identifies AG27 as used on the Bubble Dancer R/C DLG,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Drela AG low-speed family
e423,Low-subsonic,strong,Low-subsonic,valid,True,True,0.55824968,Ma 0.25,UIUC identifies E423 as a high-lift airfoil with low Reynolds number data,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Eppler high-lift low-speed anchor
s1221,Low-subsonic,contextual,Low-subsonic,valid,True,True,0.04556560,Ma 0.25,Selig S1221 belongs to the Selig low-speed airfoil collection,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Selig low-speed family
s2048,Low-subsonic,strong,Transonic,valid,True,False,0.07318977,Ma 0.734,UIUC identifies S2048 as a low Reynolds number airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Selig low Reynolds number airfoil
s2050,Low-subsonic,strong,Supersonic,valid,True,False,0.10196436,Ma 1.5,UIUC identifies S2050 as a low Reynolds number airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Selig low Reynolds number airfoil
sd7032,Low-subsonic,strong,Supersonic,valid,True,False,0.06138483,Ma 1.5,UIUC identifies SD7032 as a Selig-Donovan low Reynolds number airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Selig-Donovan low Reynolds number airfoil
sd7037,Low-subsonic,strong,Supersonic,valid,True,False,0.03105502,Ma 1.5,UIUC identifies SD7037 as a Selig-Donovan low Reynolds number airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Selig-Donovan low Reynolds number airfoil
sd7062,Low-subsonic,strong,Low-subsonic,valid,True,True,0.11458447,Ma 0.25,UIUC identifies SD7062 as a Selig-Donovan low Reynolds number airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Selig-Donovan low Reynolds number airfoil
sd7080,Low-subsonic,strong,Supersonic,valid,True,False,0.07019017,Ma 1.5,UIUC identifies SD7080 as a Selig-Donovan low Reynolds number airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Selig-Donovan low Reynolds number airfoil
rae2822,Transonic,strong,Transonic,valid,True,True,0.42228478,Ma 0.734,NASA Glenn validation case examines transonic flow over RAE 2822 at Ma 0.725 and Re 6.5 million,NASA Glenn RAE2822 Transonic Airfoil Validation,https://www.grc.nasa.gov/www/wind/valid/raetaf/raetaf.html,Canonical transonic validation airfoil
rae5212,Transonic,strong,Transonic,valid,True,True,0.05473605,Ma 0.734,UIUC identifies RAE 5212 as a transonic airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,RAE transonic family
rae5213,Transonic,strong,Supersonic,valid,True,False,0.16602121,Ma 1.5,UIUC identifies RAE 5213 as a transonic airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,RAE transonic family
rae5214,Transonic,strong,Supersonic,valid,True,False,0.21132371,Ma 1.5,UIUC identifies RAE 5214 as a transonic airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,RAE transonic family
rae5215,Transonic,strong,Supersonic,valid,True,False,0.19929281,Ma 1.5,UIUC identifies RAE 5215 as a transonic airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,RAE transonic family
rae69ck,Transonic,strong,Transonic,valid,True,True,0.42229832,Ma 0.734,UIUC identifies RAE6-9CK as a transonic airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,RAE transonic family
whitcomb,Transonic,strong,Transonic,valid,True,True,0.09419120,Ma 0.734,UIUC identifies the Whitcomb section as a NASA Langley integral supercritical airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,NASA Langley supercritical airfoil
sc20412,Transonic,strong,Transonic,valid,True,True,0.05393693,Ma 0.734,NASA SC(2) family airfoil from NASA TP-2969 supercritical airfoil matrix,NASA TP-2969 Supercritical Airfoils,https://ntrs.nasa.gov/citations/19900007394,NASA supercritical family
sc20414,Transonic,strong,Transonic,valid,True,True,0.11333454,Ma 0.734,NASA SC(2) family airfoil from NASA TP-2969 supercritical airfoil matrix,NASA TP-2969 Supercritical Airfoils,https://ntrs.nasa.gov/citations/19900007394,NASA supercritical family
sc21010,Transonic,strong,Transonic,valid,True,True,0.36829046,Ma 0.734,NASA SC(2) family airfoil from NASA TP-2969 supercritical airfoil matrix,NASA TP-2969 Supercritical Airfoils,https://ntrs.nasa.gov/citations/19900007394,NASA supercritical family
ames01,Transonic,contextual,Supersonic,valid,True,False,0.26787658,Ma 1.5,UIUC identifies NASA AMES A-01 as a transonic rotorcraft airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Rotorcraft airfoil with multi-point design requirements
ames02,Transonic,contextual,Supersonic,valid,True,False,0.44056991,Ma 1.5,UIUC identifies NASA AMES A-02 as a transonic rotorcraft airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Rotorcraft airfoil with multi-point design requirements
ames03,Transonic,contextual,Supersonic,valid,True,False,0.11566381,Ma 1.5,UIUC identifies NASA AMES A-03 as a transonic rotorcraft airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Rotorcraft airfoil with multi-point design requirements
ssca07,Transonic,contextual,Supersonic,valid,True,False,0.41017674,Ma 1.5,UIUC identifies SSC-A07 as a transonic rotorcraft airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Sikorsky-Flemming rotorcraft airfoil
ssca09,Transonic,contextual,Supersonic,valid,True,False,0.29406553,Ma 1.5,UIUC identifies SSC-A09 as a transonic rotorcraft airfoil,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Sikorsky-Flemming rotorcraft airfoil
double_wedge_archetype,Supersonic,archetype,,not_in_dataset,False,,,,NACA TN 2982 treats double-wedge airfoils as supersonic analytical sections,NACA TN 2982,https://ntrs.nasa.gov/api/citations/19930083707/downloads/19930083707.pdf?attachment=true,Not present as a named airfoil in the current dataset
biconvex_archetype,Supersonic,archetype,,not_in_dataset,False,,,,NACA TN 2982 treats biconvex airfoils as supersonic analytical sections,NACA TN 2982,https://ntrs.nasa.gov/api/citations/19930083707/downloads/19930083707.pdf?attachment=true,Not present as a named airfoil in the current dataset
